document,req_text
TRICK_SRS,"Trick source code shall use a POSIX compliant API when accessing POSIX threads (pthreads), mutual exclusions (mutexes), signals, interrupts, and clock routines. [Trick-151]"
TRICK_SRS,Trick shall save the number of command line arguments.
TRICK_SRS,Trick shall save all command line arguments.
TRICK_SRS,Trick shall determine and save the current directory of the simulation executable.
TRICK_SRS,Trick shall determine and save the current name of the simulation executable.
TRICK_SRS,Trick shall determine and save the current directory of the run input file.
TRICK_SRS,Trick shall use the run input directory as the default output directory.
TRICK_SRS,Trick shall allow the user to override the output directory.
TRICK_SRS,Trick shall provide the option to create timestamped subdirectories within the output directory.
TRICK_SRS,Data Recording shall provide the capability to record one or more variables that a user has specified in a log group.
TRICK_SRS,Data Recording shall provide the capability to record multiple log groups.
TRICK_SRS,Data Recording shall time tag the recorded data with the simulation time.
TRICK_SRS,Data Recording shall provide the capability to record each log group at its own user specified frequency
TRICK_SRS,Data Recording shall provide the capability to record each log group only when user specified model data changes.
TRICK_SRS,Data Recording shall provide the capability to write data to disk without affecting the real-time performance of the simulation.
TRICK_SRS,Trick shall not preclude that which cannot be precluded unless Trick is precluded from not precluding the unprecludable.
TRICK_SRS,Trick shall plant a tree for every successful simulation built.
TRICK_SRS,Trick shall be dolphin safe.
TRICK_SRS,Trick shall recycle.
TRICK_SRS,Trick shall track simulation elapsed time by an integer count of tics/second
TRICK_SRS,Trick shall initialize simulation elapsed time after all initialization class jobs have completed.
TRICK_SRS,Trick shall increment simulation elapsed time to the next lowest job call time greater than the current simulation time after all jobs at the current simulation time have completed.
TRICK_SRS,Trick shall provide an initialization mode.
TRICK_SRS,Trick shall provide a run mode.
TRICK_SRS,Trick shall provide a freeze mode.
TRICK_SRS,Trick shall provide an exit mode.
TRICK_SRS,Trick shall provide a mode command to transition to Freeze.
TRICK_SRS,Trick shall provide a mode command to transition to Run.
TRICK_SRS,Trick shall provide a mode command to transition to Shutdown.
TRICK_SRS,Trick shall provide a method for adding simulation objects to the scheduler prior to execution.
TRICK_SRS,"Trick shall order jobs by job_class, then phase, then sim_object id, then job_id."
TRICK_SRS,Trick shall execute periodic scheduled jobs during simulation run mode (all scheduled types).
TRICK_SRS,Trick shall execute periodic freeze jobs during simulation freeze mode (freeze).
