sector,document,req_text
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall log torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall store torque request when over-temperature in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall compute sensor fusion output within 100 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall transmit the braking command within 200 ms under sensor fault."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall transmit torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall transmit the braking command within 50 ms under over-temperature."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall store torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall compute torque request when over-temperature in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall validate torque request when over-temperature in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall compute sensor fusion output within 200 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall transmit torque request when loss of signal in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall store the braking command within 200 ms under loss of signal."
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall transmit the braking command within 10 ms under sensor fault."
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall log the braking command within 10 ms under loss of signal."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall compute torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall limit torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall limit sensor fusion output within 100 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall store torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall limit the braking command within 10 ms under over-temperature."
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall log the braking command within 10 ms under sensor fault."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall transmit torque request when over-temperature in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall store the braking command within 50 ms under sensor fault."
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall compute sensor fusion output within 50 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall transmit torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall limit torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall validate the braking command within 100 ms under over-temperature."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall store torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall transmit torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall validate sensor fusion output within 200 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall transmit the braking command within 100 ms under over-temperature."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall log torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall log torque request when voltage drop in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall compute sensor fusion output within 100 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall store the braking command within 100 ms under loss of signal."
automotive,AUTOMOTIVE_SYNTH,The vehicle control unit shall log torque request when sensor fault in accordance with ISO 26262.
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall limit sensor fusion output within 50 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,The autonomous driving stack shall compute sensor fusion output within 200 ms (ISO 26262 ASIL).
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall transmit the braking command within 10 ms under voltage drop."
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall log the braking command within 50 ms under loss of signal."
automotive,AUTOMOTIVE_SYNTH,"Per ISO 26262, the ECU shall compute the braking command within 200 ms under sensor fault."
