document,req_text
FHIR_Conformance_Rules.html,"This specification uses the conformance verbs SHALL, SHOULD, and MAY as defined in RFC 2119. Unlike RFC 2119, however, this specification allows that different applications might not be able to interoperate because of how they use optional features. In particular:"
FHIR_Conformance_Rules.html,SHALL: an absolute requirement for all implementations
FHIR_Conformance_Rules.html,SHALL NOT: an absolute prohibition against inclusion for all implementations
FHIR_Conformance_Rules.html,"SHOULD/SHOULD NOT: A best practice or recommendation to be considered by implementers within the context of their particular implementation; there may be valid reasons to ignore an item, but the full implications must be understood and carefully weighed before choosing a different course"
FHIR_Conformance_Rules.html,"The contents of a resource and the formats used to represent resources SHALL conform to the rules described in this specification, as defined in the narrative of the specification, and as controlled by the conformance properties defined below."
FHIR_Conformance_Rules.html,"Note that when present, elements cannot be empty - they SHALL have a value attribute, child elements, or extensions. The element's value attribute/property can never be empty. Either it is absent, or it is present with at least one character of non-whitespace content. This means that setting an element to a minimum cardinality of 1 does not ensure that data will be present; specific FHIRPath constraints are required to ensure that the required data will be present."
FHIR_Conformance_Rules.html,"Clients should not depend on servers maintaining ordering of elements, unless the retrieved resource conforms to a profile which mandates maintenance of ordering. If a server cannot maintain ordering, it must strip off known profile tags which require maintenance of ordering, and strip off unknown profiles (since they might require maintenance of ordering)."
FHIR_Conformance_Rules.html,"Whether an element is a modifier cannot be changed when element usage is described in a constraining Structure Definition . When an element is labeled as Is-Modifier, the documentation must be clear about why it is a modifier."
FHIR_Conformance_Rules.html,"If a narrative summary is present, and the status is generated , Is-Modifier elements SHALL be represented in the narrative summary of the resource. If Narrative is present with some other status Is-modifier elements SHOULD be represented."
FHIR_Conformance_Rules.html,"The FHIR specification is primarily concerned with valid interfaces of various kinds (APIs, messaging, etc.) and the rules for the content in resource instances exchanged between applications. Implementation guides that describe specific implementation solutions and application roles are also concerned with application behavior - what information must be provided under what conditions, and setting expectations for how particular data elements are handled."
FHIR_Conformance_Rules.html,"Many constraints are defined in the base specification. In addition, additional constraints may be defined in profiles that apply to resources. Systems are not required to evaluate the constraints, just as they are not required to check for conformance, or schema validity. However, systems SHOULD always ensure that all resources are valid against all applicable constraints."
AUTOSAR_RS_Main.pdf,AUTOSAR and the companies that have contributed to it shall not be liable for any use of the work.
AUTOSAR_RS_Main.pdf,"2.1 Conventions used The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""SHOULD"", ""SHOULD NOT"", ""RECOMMENDED"", ""MAY"", and ""OPTIONAL"" in this document are to be interpreted as follows."
AUTOSAR_RS_Main.pdf,"An implementation, which does not include a particular option, SHALL be prepared to interoperate with another implementation, which does include the option, though perhaps with reduced functionality."
AUTOSAR_RS_Main.pdf,"In the same vein an implementation, which does include a particular option, SHALL be prepared to interoperate with another implemen- 9 of 46 Document ID 54: AUTOSAR_FO_RS_Main"
AUTOSAR_RS_Main.pdf,"Main Requirements AUTOSAR FO R24-11 4 Requirements Specification [RS_Main_00001] Real-Time System Software Platform Upstream requirements: RS_PO_00003, RS_PO_00004 ⌈ Description: AUTOSAR shall provide a software platform."
AUTOSAR_RS_Main.pdf,The AUTOSAR software platform shall be applicable for the domain of real-time systems.
AUTOSAR_RS_Main.pdf,"Hard real time systems always have to deliver the correct result in the given time whereas from soft real time systems it is demanded that they compute the correct answer in a given time in a dedicated average. ⌋ [RS_Main_00060] Standardized Application Communication Interface Upstream requirements: RS_PO_00001, RS_PO_00002, RS_PO_00007 ⌈ Description: AUTOSAR shall provide an application communication interface."
AUTOSAR_RS_Main.pdf,The AUTOSAR application communication interface shall allow AUTOSAR applications to use the same interface definition independently of whether they are located on the same or on different ECUs.
AUTOSAR_RS_Main.pdf,"Rationale: A standardized interface definition for applications is a prerequisite for the reuse of software and hardware independent deployment. ⌋ [RS_Main_00130] Hardware Abstraction Layer Upstream requirements: RS_PO_00001, RS_PO_00002 ⌈ Description: AUTOSAR shall provide a hardware abstraction layer."
AUTOSAR_RS_Main.pdf,The AUTOSAR hardware abstraction layer shall standardize access to the hardware for software that is not part of the abstraction layer. ▽ 13 of 46 Document ID 54: AUTOSAR_FO_RS_Main
AUTOSAR_RS_Main.pdf,"Main Requirements AUTOSAR FO R24-11 △ Rationale: Application software has to be independent from the underlying hardware in order to be reused (e.g. on other hardware platforms). ⌋ [RS_Main_00653] Means for Functional Modeling Status: DRAFT Upstream requirements: RS_PO_00002, RS_PO_00003, RS_PO_00004 ⌈ Description: AUTOSAR shall provide means for functional modeling."
AUTOSAR_RS_Main.pdf,The AUTOSAR means for functional modeling shall be the same for AUTOSAR and Non-AUTOSAR platforms.
AUTOSAR_RS_Main.pdf,"Rationale: To enable design of vehicles without the need to preselect a dedicated technology beforehand (AUTOSAR platforms, Non-AUTOSAR platforms) Dependencies: [RS_Main_00080], [RS_Main_00507] ⌋ [RS_Main_00230] Network Technology Support Upstream requirements: RS_PO_00002 ⌈ Description: AUTOSAR shall support E/E architectures that use more than one in vehicle network technology."
