document,req_text
AUTOSAR_RS_Main.pdf,AUTOSAR and the companies that have contributed to it shall not be liable for any use of the work.
AUTOSAR_RS_Main.pdf,"2.1 Conventions used The key words ""MUST"", ""MUST NOT"", ""REQUIRED"", ""SHALL"", ""SHALL NOT"", ""SHOULD"", ""SHOULD NOT"", ""RECOMMENDED"", ""MAY"", and ""OPTIONAL"" in this document are to be interpreted as follows."
AUTOSAR_RS_Main.pdf,"An implementation, which does not include a particular option, SHALL be prepared to interoperate with another implementation, which does include the option, though perhaps with reduced functionality."
AUTOSAR_RS_Main.pdf,The AUTOSAR software platform shall be applicable for the domain of real-time systems.
AUTOSAR_RS_Main.pdf,The AUTOSAR application communication interface shall allow AUTOSAR applications to use the same interface definition independently of whether they are located on the same or on different ECUs.
AUTOSAR_RS_Main.pdf,"Rationale: A standardized interface definition for applications is a prerequisite for the reuse of software and hardware independent deployment. ⌋ [RS_Main_00130] Hardware Abstraction Layer Upstream requirements: RS_PO_00001, RS_PO_00002 ⌈ Description: AUTOSAR shall provide a hardware abstraction layer."
AUTOSAR_RS_Main.pdf,The AUTOSAR means for functional modeling shall be the same for AUTOSAR and Non-AUTOSAR platforms.
AUTOSAR_RS_Main.pdf,"Rationale: To enable design of vehicles without the need to preselect a dedicated technology beforehand (AUTOSAR platforms, Non-AUTOSAR platforms) Dependencies: [RS_Main_00080], [RS_Main_00507] ⌋ [RS_Main_00230] Network Technology Support Upstream requirements: RS_PO_00002 ⌈ Description: AUTOSAR shall support E/E architectures that use more than one in vehicle network technology."
AUTOSAR_RS_Main.pdf,"AUTOSAR shall support interconnection of networks via gateways, bridges and repeaters."
AUTOSAR_RS_Main.pdf,"Rationale: Current in-vehicle E/E-architectures use multiple networks with different network technologies. ⌋ [RS_Main_00260] Runtime Diagnostics Means Upstream requirements: RS_PO_00004, RS_PO_00005, RS_PO_00009 ⌈ Description: AUTOSAR shall provide runtime diagnostics means."
AUTOSAR_RS_Main.pdf,AUTOSAR shall support the communication between platforms defined by AUTOSAR and platforms defined by other parties (e.g. running other operating systems).
AUTOSAR_RS_Main.pdf,Rationale: Automotive networks consist of ECUs running different software platforms (including offboard systems) beside the software platforms defined by AUTOSAR. ⌋ [RS_Main_00491] Function Monitoring Upstream requirements: RS_PO_00009 ⌈ Description: AUTOSAR shall provide function monitoring.
AUTOSAR_RS_Main.pdf,"The AUTOSAR function monitoring shall include logging, distribution and storage of application-internal information at runtime."
AUTOSAR_RS_Main.pdf,The AUTOSAR function monitoring shall be usable without knowing anything about the ECU internal memory usage/addressing.
AUTOSAR_RS_Main.pdf,Rationale: Standardized function monitoring is required by development to be able to inspect and understand the system behavior at runtime. ⌋ 15 of 46 Document ID 54: AUTOSAR_FO_RS_Main Main Requirements AUTOSAR FO R24-11 [RS_Main_00510] Secure Onboard Communication Upstream requirements: RS_PO_00005 ⌈ Description: AUTOSAR shall provide means for secure onboard communication.
AUTOSAR_RS_Main.pdf,"The AUTOSAR means for secure onboard communication shall include at least means to check • data authenticity, • data integrity, • optionally confidentiality, • optionally data freshness. ⌋ [RS_Main_01001] Intra ECU Communication Support Upstream requirements: RS_PO_00002, RS_PO_00001 ⌈ Description: AUTOSAR shall provide intra ECU communication support."
AUTOSAR_RS_Main.pdf,The AUTOSAR intra ECU communication support shall enable software modules on the same ECU to communicate with each other with standardized means.
AUTOSAR_RS_Main.pdf,"Rationale: Software modules send signals to each other to exchange algorithm data. ⌋ [RS_Main_00700] UDS Compliance Status: DRAFT Upstream requirements: RS_PO_00005, RS_PO_00009 ⌈ Description: AUTOSAR shall be compliant with the ISO 14229-2 standard for Unified Diagnostic Services (UDS)."
AUTOSAR_RS_Main.pdf,Rationale: UDS-compliant test equipment is currently in widespread use. ⌋ 16 of 46 Document ID 54: AUTOSAR_FO_RS_Main Main Requirements AUTOSAR FO R24-11 [RS_Main_00010] Safety Mechanisms Upstream requirements: RS_PO_00005 ⌈ Description: AUTOSAR shall provide safety mechanisms.
AUTOSAR_RS_Main.pdf,The AUTOSAR safety mechanisms shall ensure freedom from interferences between safety relevant software modules.
AUTOSAR_RS_Main.pdf,The AUTOSAR safety mechanisms shall ensure safe inter and intra ECU communication.
AUTOSAR_RS_Main.pdf,The AUTOSAR safety mechanisms shall support the implementation of fail operational systems.
AUTOSAR_RS_Main.pdf,The AUTOSAR safety mechanisms shall include a methodology to support the configuration and documentation of safety relevant aspects.
AUTOSAR_RS_Main.pdf,The AUTOSAR safety mechanisms shall include a methodology how to implement safety by using the templates.
AUTOSAR_RS_Main.pdf,"Platforms designed for the support of safety related systems are needed for safety related ECUs like digital engine control units and electronic power steering systems. ⌋ [RS_Main_00030] Safety Related Process Support Upstream requirements: RS_PO_00005, RS_PO_00007, RS_PO_00009 ⌈ Description: AUTOSAR shall provide system safety support."
AUTOSAR_RS_Main.pdf,The AUTOSAR system safety support shall include at least exchange formats for safety process relevant information in the development process.
AUTOSAR_RS_Main.pdf,The AUTOSAR system safety support shall enable users to apply safety standards.
AUTOSAR_RS_Main.pdf,"Supporting Material: ISO26262 ⌋ 17 of 46 Document ID 54: AUTOSAR_FO_RS_Main Main Requirements AUTOSAR FO R24-11 [RS_Main_00011] Mechanisms for Reliable Systems Upstream requirements: RS_PO_00005, RS_PO_00009 ⌈ Description: AUTOSAR shall provide mechanisms for reliable systems."
AUTOSAR_RS_Main.pdf,"Rationale: Reliability is one of the important characteristics to achieve safety. ⌋ [RS_Main_00012] Highly Available Systems Support Upstream requirements: RS_PO_00005, RS_PO_00009 ⌈ Description: AUTOSAR shall provide highly available systems support."
AUTOSAR_RS_Main.pdf,When system malfunction occurs during normal runtime then AUTOSAR highly available systems support shall ensure availability.
AUTOSAR_RS_Main.pdf,"Highly available systems are required for automated driving applications. ⌋ [RS_Main_00080] Formal Description Language Upstream requirements: RS_PO_00004, RS_PO_00007 ⌈ Description: AUTOSAR shall provide a formal description language."
AUTOSAR_RS_Main.pdf,The AUTOSAR formal description language shall allow users to describe AUTOSAR software.
AUTOSAR_RS_Main.pdf,"Rationale: Users want to reuse proprietary software or software based on former AUTOSAR versions. ⌋ [RS_Main_00200] Resource Efficiency Upstream requirements: RS_PO_00002 ⌈ Description: AUTOSAR shall al- low AUTOSAR users to implement AUTOSAR software efficiently with respect to • RAM • ROM, Flash • Computing power • Bus bandwith."
AUTOSAR_RS_Main.pdf,"Rationale: Limited resources like flash, RAM, computing power characterize automotive computers. ⌋ [RS_Main_00507] Development Collaboration Support Upstream requirements: RS_PO_00001, RS_PO_00009 ⌈ Description: AUTOSAR shall provide development collaboration support."
AUTOSAR_RS_Main.pdf,"The AUTOSAR development collaboration support shall include processes, exchange formats and methodology."
AUTOSAR_RS_Main.pdf,Supporting Material: Automotive SPICE ⌋ 19 of 46 Document ID 54: AUTOSAR_FO_RS_Main Main Requirements AUTOSAR FO R24-11 [RS_Main_00514] System Security Support Upstream requirements: RS_PO_00005 ⌈ Description: AUTOSAR shall provide system security support.
AUTOSAR_RS_Main.pdf,The AUTOSAR system security support shall provide security mechanisms.
AUTOSAR_RS_Main.pdf,The AUTOSAR system security support shall provide security properties.
